Data_Venda;Ativo;Moeda_Venda;Valor_Venda;Data_Aquisicao;Custo_Aquisicao_USD;Origem_Externa;Resultado;Isento_365d
2021-08-28 08:40:42;EURX;EUR;1453,0;2021-04-24 15:39:57;1761,5265;Não;-308,52649999999994;125 dias
2021-09-14 11:46:15;EURX;EUR;9000,0;2021-05-27 10:49:00;10373,787779806058;Não;-1373,787779806058;110 dias
2021-10-01 10:14:38;EURX;EUR;1294,21;2021-04-04 23:32:43;1372,9369742073645;Sim;-78,72697420736449;TBD
2021-10-06 08:12:44;EURX;EUR;9435,33;2021-04-04 23:32:43;10557,331678315368;Sim;-1122,0016783153678;TBD
2021-10-28 13:22:28;EURX;EUR;4978,0;2021-10-05 08:39:14;5823,124616655406;Sim;-845,1246166554056;TBD
2021-10-29 14:45:09;EURX;EUR;5927,23;2021-10-05 08:39:14;6773,3961666577825;Sim;-846,1661666577829;TBD
2021-11-03 23:40:48;EURX;EUR;8750,0;2021-10-25 10:20:27;10320,459860277095;Sim;-1570,4598602770948;TBD
2021-11-08 08:59:11;EURX;EUR;11250,0;2021-10-28 12:51:57;13436,726961687484;Sim;-2186,7269616874837;TBD
2021-11-30 18:59:42;EURX;EUR;10223,54;2021-10-28 21:45:17;11847,65339028538;Sim;-1624,1133902853799;TBD
2022-01-24 13:02:19;EURX;EUR;11430,53;2021-10-28 22:00:53;21883,72212854579;Sim;-10453,192128545788;TBD
2022-01-26 18:16:44;EURX;EUR;871,05;2022-01-24 12:50:06;1833,6826907697894;Não;-962,6326907697894;2 dias
2022-04-11 20:38:10;EURX;EUR;2447,41;2021-10-05 08:39:14;2697,8310740579527;Sim;-250,42107405795286;TBD
2022-05-09 15:17:58;EURX;EUR;9522,0;2022-04-11 20:32:10;10157,580772197505;Não;-635,5807721975052;27 dias
2022-05-10 22:57:22;EURX;EUR;9750,0;2022-04-11 20:25:57;10400,799252000394;Sim;-650,7992520003936;TBD
2022-05-12 12:10:44;EURX;EUR;10750,68;2022-04-11 20:25:57;11467,86865940147;Sim;-717,1886594014704;TBD
2022-06-01 10:33:53;EURX;EUR;3149,98;2022-05-09 15:08:52;4244,106054441264;Não;-1094,126054441264;22 dias
2022-06-11 08:51:09;EURX;EUR;11824,9;2022-06-01 10:21:00;19987,83548899457;Não;-8162,93548899457;9 dias
2022-06-30 08:44:51;EURX;EUR;6188,56;2022-06-11 08:07:34;6515,526861423237;Não;-326,9668614232369;19 dias
2022-07-01 09:03:48;EURX;EUR;9507,44;2022-06-16 09:06:28;10024,62366942922;Não;-517,1836694292197;14 dias
2022-07-06 10:01:38;EURX;EUR;10206,53;2022-06-30 08:29:04;10522,123301597136;Sim;-315,593301597135;TBD
2022-07-11 11:30:11;EURX;EUR;11726,1;2022-07-01 08:42:34;12021,28296538345;Sim;-295,1829653834502;TBD
2022-07-21 08:12:50;EURX;EUR;5864,3;2022-07-06 09:26:42;6010,4806087702855;Sim;-146,1806087702853;TBD
2022-08-10 12:25:17;EURX;EUR;10734,07;2022-07-21 08:09:25;11042,822303042643;Não;-308,7523030426437;20 dias
2022-08-17 12:29:26;EURX;EUR;8809,69;2022-07-21 08:01:00;9004,443391970588;Sim;-194,75339197058747;TBD
2022-08-29 08:54:18;EURX;EUR;5611,35877109;2022-08-17 11:40:05;5608,9317414616135;Não;2,427029628386663;11 dias
2022-08-31 10:27:58;EURX;EUR;4483,23;2022-08-10 11:55:25;4508,792694263429;Sim;-25,562694263429876;TBD
2022-10-03 17:13:47;EURX;EUR;500,0;2022-08-29 08:35:29;503,84959906294637;Sim;-3,8495990629463677;TBD
2022-10-11 12:31:42;EURX;EUR;3585,48;2022-08-30 21:28:36;3509,3897598808503;Não;76,09024011914971;41 dias
2022-11-11 11:46:57;EURX;EUR;5941,69391882;2022-10-11 12:24:44;6188,28672000778;Não;-246,59280118777951;30 dias
2022-11-14 11:19:53;EURX;EUR;9572,7;2022-11-11 11:42:17;10031,567956548453;Não;-458,86795654845264;2 dias
2022-11-17 10:04:45;EURX;EUR;4425,97;2022-11-13 21:23:48;4646,110717038199;Sim;-220,140717038199;TBD
2022-11-18 14:25:13;EURX;EUR;7663,77;2022-11-17 09:56:07;8015,273125514109;Sim;-351,50312551410843;TBD
2022-11-27 23:46:21;EURX;EUR;9527,73;2022-11-18 14:12:33;10014,012498065975;Sim;-486,28249806597523;TBD
2023-02-14 12:09:58;EURX;EUR;4592,66;2022-11-13 21:23:48;4972,042363532454;Sim;-379,3823635324543;TBD
2023-03-06 00:44:22;EURX;EUR;5828,0;2023-02-14 11:56:08;6237,609389468651;Sim;-409,609389468651;TBD
2023-03-09 11:49:17;EURX;EUR;1873,69;2023-02-14 20:27:09;1996,155062746126;Sim;-122,46506274612602;TBD
2023-03-11 14:26:54;EURX;EUR;2679,04;2023-03-06 00:37:14;2888,7181268499135;Sim;-209,6781268499135;TBD
2023-03-17 21:15:57;EURX;EUR;1203,81;2023-03-11 10:27:44;1300,352744119945;Sim;-96,54274411994516;TBD
2023-08-28 16:08:50;EURX;EUR;5312,14715906;2023-08-17 22:51:20;5860,121063381726;Não;-547,973904321726;10 dias
2023-09-01 12:22:16;EURX;EUR;248,0;2023-08-28 15:58:53;275,40516919017625;Não;-27,405169190176252;3 dias
2023-09-02 14:01:39;EURX;EUR;8687,17;2023-09-01 12:19:32;9601,862568717044;Não;-914,6925687170442;1 dias
2023-09-08 17:45:37;EURX;EUR;7531,07;2023-09-02 13:37:54;8130,17284087433;Sim;-599,1028408743305;TBD
2023-09-13 17:03:08;EURX;EUR;9872,51;2023-09-08 17:22:52;10708,854095250606;Sim;-836,3440952506062;TBD
2023-09-26 20:20:14;EURX;EUR;4476,74;2023-09-13 16:42:13;4855,984514992183;Sim;-379,2445149921832;TBD
2024-02-07 16:22:38;EURX;EUR;4034,92;2023-12-20 08:20:57;4386,6085814293365;Não;-351,6885814293364;49 dias
2024-03-12 09:05:38;EURX;EUR;6240,03;2024-02-07 16:15:46;6872,240124311117;Não;-632,2101243111174;33 dias
2024-04-14 19:34:53;EURX;EUR;2063,49;2024-03-08 20:54:38;2231,52058176052;Não;-168,03058176052036;36 dias
2024-05-02 10:39:13;EURX;EUR;5764,66;2024-04-14 13:04:08;6233,083393860166;Não;-468,42339386016647;17 dias
2024-05-31 12:36:07;EURX;EUR;3125,11;2024-05-02 10:32:52;3430,7580454559006;Não;-305,6480454559005;29 dias
2024-08-03 12:11:42;EURX;EUR;11678,92;2024-05-31 11:53:08;12885,397658688227;Não;-1206,4776586882272;64 dias
2024-09-15 08:36:54;EURX;EUR;10009,38;2024-08-03 12:05:35;11213,952438989802;Não;-1204,5724389898023;42 dias
2024-11-05 13:22:24;EURX;EUR;2995,82;2024-09-15 08:32:34;3327,794676913205;Não;-331,9746769132048;51 dias
2024-12-14 13:27:12;EURX;EUR;8193,24;2024-11-05 13:16:01;8698,691631344669;Não;-505,4516313446693;39 dias
2024-12-20 12:22:39;EURX;EUR;9999,6;2024-12-14 13:23:52;10517,444543766684;Não;-517,8445437666833;5 dias
2024-12-30 21:13:16;EURX;EUR;4536,03;2024-12-20 12:11:21;4770,909930402277;Não;-234,87993040227684;10 dias
2025-02-18 23:01:18;EURX;EUR;11573,71;2024-12-30 21:11:11;12210,251119008979;Não;-636,5411190089799;50 dias
2025-03-11 13:44:20;EURX;EUR;10000,0;2025-02-14 00:03:44;10588,820252369444;Sim;-588,8202523694436;TBD
2025-04-07 11:18:48;EURX;EUR;1179,15;2025-02-14 00:03:44;1306,124046208905;Sim;-126,97404620890484;TBD
2025-05-30 13:15:39;EURX;EUR;1875,36;2025-04-07 11:16:17;2154,8121684025637;Não;-279,45216840256376;53 dias
2025-08-02 09:59:10;EURX;EUR;2313,56;2025-05-30 12:58:08;2715,023056258041;Sim;-401,463056258041;TBD
2025-08-20 18:47:48;EURX;EUR;10663,48;2025-05-30 12:58:08;12574,987076811192;Sim;-1911,5070768111927;TBD
2025-09-11 11:22:57;EURX;EUR;5084,49;2025-08-20 18:43:53;6013,017903937453;Não;-928,5279039374536;21 dias
2025-09-24 20:21:53;EURX;EUR;8104,37;2025-09-11 11:20:53;9645,180932262034;Não;-1540,810932262034;13 dias
2025-10-12 13:39:55;EURX;EUR;5188,98;2025-09-24 20:19:23;6119,673337861019;Não;-930,6933378610192;17 dias
