Data;Hora;Moeda;Quantidade;Tipo
2021-04-04;23:32:43;XRP;3000,0;Entrada_Externa
2021-04-08;12:22:23;ETH;3,0;Entrada_Externa
2021-04-09;08:38:44;BTC;0,25379563;Entrada_Externa
2021-04-14;08:06:48;USDC;10000,0;Entrada_Externa
2021-04-15;22:17:07;ETH;5,0;Entrada_Externa
2021-04-22;11:50:12;ETH;5,0;Entrada_Externa
2021-04-22;12:43:10;LINK;250,0;Entrada_Externa
2021-08-04;14:34:20;USDC;10000,0;Saida_Externa
2021-09-14;11:35:15;XRP;11110,498;Entrada_Externa
2021-10-05;08:39:14;USDC;16900,0;Entrada_Externa
2021-10-15;13:06:41;BTC;0,100512;Entrada_Externa
2021-10-15;22:59:04;XRP;7000,25;Entrada_Externa
2021-10-25;10:20:27;USDT;1175,0;Entrada_Externa
2021-10-28;12:51:57;ADA;17,0;Entrada_Externa
2021-10-28;12:59:42;ADA;9989,0;Entrada_Externa
2021-10-28;14:10:14;ADA;537,0;Entrada_Externa
2021-10-28;21:45:17;USDT;4976,6646;Entrada_Externa
2021-10-28;22:00:53;USDT;2776,381484;Entrada_Externa
2021-10-29;16:05:39;USDC;19995,0;Entrada_Externa
2021-10-30;11:36:07;DOT;205,929477;Entrada_Externa
2021-10-30;11:42:10;ETH;4,220772;Entrada_Externa
2021-10-31;22:18:48;ADA;5000,0;Entrada_Externa
2021-11-03;23:33:16;USDC;15000,006966;Entrada_Externa
2021-11-09;13:57:15;USDC;7775,0;Entrada_Externa
2021-11-10;16:05:47;USDC;6920,0;Entrada_Externa
2021-11-25;10:34:20;DOT;300,1835;Entrada_Externa
2021-11-25;12:31:56;ADA;10009,0;Entrada_Externa
2021-11-27;14:08:09;ADA;10000,0;Entrada_Externa
2021-11-30;18:32:23;USDT;17347,7047;Entrada_Externa
2021-11-30;20:24:46;USDT;12821,976;Entrada_Externa
2021-12-01;10:00:11;USDT;4985,277107;Entrada_Externa
2021-12-03;12:54:06;ADA;10000,0;Entrada_Externa
2022-01-09;13:13:30;USDC;14083,0;Entrada_Externa
2022-01-11;11:17:26;ETH;1,0;Entrada_Externa
2022-01-12;11:17:28;USDC;13043,9958;Entrada_Externa
2022-01-12;12:08:33;ADA;5000,0;Saida_Externa
2022-01-17;23:35:21;USDC;14815,0;Entrada_Externa
2022-01-19;20:52:33;USDC;11850,0;Entrada_Externa
2022-01-25;20:03:54;LINK;250,1;Entrada_Externa
2022-01-26;11:29:59;BTC;0,50210925;Entrada_Externa
2022-01-27;17:49:33;ADA;1000,0;Entrada_Externa
2022-01-28;12:04:23;USDT;25212,791;Entrada_Externa
2022-01-28;12:07:34;USDT;25220,784491;Entrada_Externa
2022-01-31;10:33:05;USDC;39921,131651;Entrada_Externa
