Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2sU40sbNdQEioUMi9f2TxI,Interest,USDC,5.75785200,USDC,5.75785200,$5.76,-,-,"approved / USDC Interest Earned",2025-12-24 06:00:00
NXT1SsVXBp8WPXrVaaHsjY103,Interest,NEXO,0.05659181,NEXO,0.05659181,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-24 06:00:00
NXT79L4aGJ9SSJ1IKihiGL1Rw,Interest,NEXO,0.05658723,NEXO,0.05658723,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-23 06:00:00
NXT1KADozUCEM0HempbfnTvTk,Interest,USDC,5.75674800,USDC,5.75674800,$5.76,-,-,"approved / USDC Interest Earned",2025-12-23 06:00:00
NXT6UTceb3zfE4ZrDDzidy5z7,Interest,NEXO,0.05658265,NEXO,0.05658265,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-22 06:00:00
NXT4KbriGFGvGo9ugP661udU9,Interest,USDC,5.75564500,USDC,5.75564500,$5.75,-,-,"approved / USDC Interest Earned",2025-12-22 06:00:00
NXT2PruLmCXM4NeVA4YvY8NEx,Interest,NEXO,0.05657807,NEXO,0.05657807,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-21 06:00:00
NXTTcGPbLlkjP3tfYO6SyNKT,Interest,USDC,5.75454100,USDC,5.75454100,$5.75,-,-,"approved / USDC Interest Earned",2025-12-21 06:00:00
NXT4I2xvJgMhsSrXmPNFlqbrJ,Interest,USDC,5.75343800,USDC,5.75343800,$5.75,-,-,"approved / USDC Interest Earned",2025-12-20 06:00:00
NXT1tSGfQwPddTKabEZrwoyJ2,Interest,NEXO,0.05657349,NEXO,0.05657349,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-20 06:00:00
NXT6FSliJ9liKPKPbTtjYvY2y,Withdraw Exchanged,EUR,-1362.26000000,EUR,1362.26000000,$1596.10,-,-,"approved / EUR withdrawal",2025-12-19 13:57:37
NXT5xYJhDLwU0Bve2wUAglBG1,Exchange To Withdraw,EURX,1367.26000000,EUR,1362.26000000,$1601.79,5.00000000,EURX,"approved / EURX to EUR",2025-12-19 13:56:32
NXTuQ79Ol54oJkEdmyaGMfDY,Exchange Cashback,EURX,0.13341719,EURX,0.13341719,$0.16,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-12-19 13:54:04
NXT1ltgxI2jhJnRCvZ7oxgBtp,Exchange,USDC,-160.00000000,EURX,133.41719144,$156.33,1.99019500,USDC,"approved / Exchange USD Coin to EURX",2025-12-19 13:54:04
NXT30IVtg0vZUzi5Hv6MxRgQG,Exchange Cashback,EURX,1.23248277,EURX,1.23248277,$1.44,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-12-19 13:53:06
NXT5QXiRK6KJkgfT5zjiKC6TW,Exchange,USDT,-1460.00000000,EURX,1232.48276880,$1444.01,-,-,"approved / Exchange Tether to EURX",2025-12-19 13:53:06
NXTdYofaEiHUPpLWgezOjdOn,Top up Crypto,USDT,1460.00000000,USDT,1460.00000000,$1459.11,-,-,"approved / 0x390aa9849cddbec647f49eec10eb6b427f624f641f02da353e670a67e5132fcd",2025-12-19 13:51:44
NXT45tXnqXzFGf8JTleOozIaC,Interest,USDC,5.78301300,USDC,5.78301300,$5.78,-,-,"approved / USDC Interest Earned",2025-12-19 06:00:00
NXT2nKzJ0gGLkWASgF1o2DO0e,Interest,NEXO,0.05656890,NEXO,0.05656890,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-19 06:00:00
NXT55kW11urbpTEO9s7yCLYyI,Interest,NEXO,0.05656432,NEXO,0.05656432,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-18 06:00:00
NXT2mgOnioOXu2oSY2t6iDYei,Interest,USDC,5.78190400,USDC,5.78190400,$5.78,-,-,"approved / USDC Interest Earned",2025-12-18 06:00:00
NXT6Nko9tUt5qhHt3cDb8wwXK,Interest,NEXO,0.05655974,NEXO,0.05655974,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-17 06:00:00
NXT2NqLrow6IicEKAW9qWaXxq,Interest,USDC,5.78079600,USDC,5.78079600,$5.78,-,-,"approved / USDC Interest Earned",2025-12-17 06:00:00
NXT4xeRJrnglEh02E6cDl7OSV,Exchange,BNB,-0.00000030,NEXO,0.00028099,$0.00,-,-,"approved / Convert Small Balances / Exchange BNB to NEXO Token",2025-12-16 22:19:42
NXTtIw05HEKYY416IAhSWaaq,Exchange,EURX,-0.00742608,NEXO,0.00937013,$0.01,-,-,"approved / Convert Small Balances / Exchange EURX to NEXO Token",2025-12-16 22:19:42
NXT1XzykYwDwBEU2blgf98O2a,Interest,USDC,5.77968700,USDC,5.77968700,$5.78,-,-,"approved / USDC Interest Earned",2025-12-16 06:00:00
NXTaDl3dnhRfJkTHupvfUZQZ,Interest,NEXO,0.05655438,NEXO,0.05655438,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-16 06:00:00
NXT6aXPgYtVhbmlifYpTFFPv7,Interest,NEXO,0.05654980,NEXO,0.05654980,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-15 06:00:00
NXT3AwQ8AvE6HPjifRekNXr6z,Interest,USDC,5.77857900,USDC,5.77857900,$5.78,-,-,"approved / USDC Interest Earned",2025-12-15 06:00:00
NXT5qU2Jd4SJxW6hZYOkYInYO,Interest,NEXO,0.05654522,NEXO,0.05654522,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-14 06:00:00
NXT27C1dUtphQIpdoHO1yEavF,Interest,USDC,5.77747100,USDC,5.77747100,$5.78,-,-,"approved / USDC Interest Earned",2025-12-14 06:00:00
NXT4KIA3L1YDKQ1C3LO0io1Lf,Interest,USDC,5.77636300,USDC,5.77636300,$5.78,-,-,"approved / USDC Interest Earned",2025-12-13 06:00:00
NXT3WK9kwbVPGp3zBr2Z2hvbB,Interest,NEXO,0.05654064,NEXO,0.05654064,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-13 06:00:00
NXT65eF2nXlH8I0LfvpyXOcQ1,Interest,NEXO,0.05653606,NEXO,0.05653606,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-12 06:00:00
NXT3S10eMT0lbvNkHoIcU0l7o,Interest,USDC,5.77525600,USDC,5.77525600,$5.77,-,-,"approved / USDC Interest Earned",2025-12-12 06:00:00
NXT2F9EuM5WSpRIyeN18y8g5Z,Interest,USDC,5.77414800,USDC,5.77414800,$5.77,-,-,"approved / USDC Interest Earned",2025-12-11 06:00:00
NXT1Fg9NqtRM0aJciysfUnmSK,Interest,NEXO,0.05653149,NEXO,0.05653149,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-11 06:00:00
